条码,批号,品号,品名,规格,数量,条码1
TM20190411021,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411021
TM20190411022,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411022
TM20190411023,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411023
TM20190411023,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411023
TM20190411024,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411024
TM20190411025,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411025
TM20190411026,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411026
TM20190411027,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411027
TM20190411028,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411028
TM20190411029,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411029
TM20190411030,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411030
TM20190411031,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411031
TM20190411032,,Q/EW-RD-FM-023,Q/EW-RD-FM-023,BOM,1,TM20190411032
