品号,品名,规格,条码,BN_NO
A-S-CR-002,CREE6英寸碳化硅衬底,生产级ultra短边,A-S-CR-002,201903270001
B-B-AD-001,PET标签纸,100mm*60mm,B-B-AD-001,201903270001
B-B-JP-001,全树脂碳带,110mm*90m,B-B-JP-001,201903270001
B-B-LN-003,6英寸片盒配套珍珠棉,外：220x220x55(mm)内：190x160x30(mm),B-B-LN-003,201903270001
B-B-MK-001,6英寸多片盒外侧尼龙袋,40*50*16s,B-B-MK-001,201903270001
B-B-MK-002,6英寸多片盒内侧尼龙袋,35*50*16s,B-B-MK-002,201903270001
B-B-UT-001,Ultratape无尘胶带,1110CL100-P3D,B-B-UT-001,201903270001
B-B-XXY-001,大纸箱,45x28x24(cm),B-B-XXY-001,201903270001
B-B-XXY-002,小纸箱,28x23x24(cm),B-B-XXY-002,201903270001
B-B-YG-001,封箱胶带,宽5.0cm肉厚1.5cm,B-B-YG-001,201903270001
B-B-ZL-003,昆山中仑6英寸多片盒,/,B-B-ZL-003,201903270001
B-H-JY-001,盐酸,CMOS-3/0.5升,B-H-JY-001,201903270001
B-H-JY-002,氨水,CMOS-3/0.5升,B-H-JY-002,201903270001
B-H-JY-003,双氧水,CMOS-3/1升,B-H-JY-003,201903270001
B-Q-AK-001,乙烯,≥99.999%,B-Q-AK-001,201903270001
B-Q-AK-002,三氯氢硅,≥99.999%,B-Q-AK-002,201903270001
B-Q-LD-001,高纯氢气,≥99.999%,B-Q-LD-001,201903270001
B-Q-LD-002,液氮,≥99.999%,B-Q-LD-002,201903270001
B-Q-LD-003,液氩,≥99.999%,B-Q-LD-003,201903270001
